MultiPolygon (((744339.66 1051550.48, 744341.28 1051556.27, 744343.09 1051562.74, 744367.14 1051556.01, 744366.34 1051552.8, 744369.35 1051552.2, 744370.97 1051551.88, 744371.78 1051554.56, 744372.5 1051556.95, 744374.05 1051562.05, 744374.9 1051566.18, 744381.7 1051564.3, 744399.38 1051559.4, 744389.56 1051523.87, 744365.09 1051530.48, 744365.34 1051531.39, 744364.18 1051531.71, 744365.09 1051534.99, 744338.27 1051542.37, 744338.75 1051543.75, 744337.86 1051544.06, 744339.66 1051550.48))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((744310.9 1051397.07, 744328.65 1051423.25, 744338.4 1051437.64, 744338.79 1051437.35, 744355.76 1051462.27, 744362 1051458.01, 744365.75 1051455.44, 744370.99 1051451.87, 744353.97 1051426.89, 744343.74 1051411.86, 744342.81 1051412.51, 744325.56 1051387.01, 744321.26 1051389.96, 744310.9 1051397.07))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((744316.05 1051450.93, 744326.6 1051466.69, 744338.46 1051458.83, 744334.87 1051453.47, 744331.72 1051448.77, 744335.65 1051446.14, 744341.25 1051442.39, 744338.17 1051437.8, 744337.4 1051436.64, 744331.98 1051440.27, 744316.05 1051450.93))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((744290.04 1051411.85, 744307.18 1051437.6, 744318.98 1051429.91, 744302.19 1051404.17, 744290.04 1051411.85))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((744294.09 1051380.89, 744301.03 1051391.25, 744313.82 1051382.71, 744305.87 1051370.82, 744299.76 1051374.9, 744293.08 1051379.38, 744294.09 1051380.89))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((744274.68 1051358.62, 744289.95 1051381.46, 744293.08 1051379.38, 744299.76 1051374.9, 744274.62 1051337.29, 744273.62 1051337.96, 744264.81 1051343.85, 744273.53 1051356.89, 744274.68 1051358.62))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((744253.49 1051329.08, 744263.81 1051344.51, 744264.81 1051343.85, 744273.62 1051337.96, 744253.43 1051307.77, 744252.43 1051308.44, 744243.62 1051314.33, 744252.29 1051327.3, 744253.49 1051329.08))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((744227.31 1051292.17, 744242.62 1051315, 744243.62 1051314.33, 744252.43 1051308.44, 744227.1 1051270.67, 744217.29 1051277.23, 744225.93 1051290.11, 744227.31 1051292.17))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((744207.86 1051248.57, 744212.47 1051266.42, 744223.9 1051263.5, 744214.83 1051228.36, 744204.54 1051230.98, 744203.39 1051231.25, 744207.31 1051246.42, 744207.86 1051248.57))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((744197.69 1051204.4, 744204.54 1051230.98, 744214.83 1051228.36, 744215.99 1051228.06, 744204.67 1051184.2, 744193.24 1051187.13, 744197.14 1051202.25, 744197.69 1051204.4))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
