MultiPolygon (((746391.89 1041722.91, 746382.74 1041724.24, 746382.67 1041723.74, 746379.46 1041724.17, 746380.93 1041734.52, 746382.87 1041734.23, 746383.03 1041735.33, 746388.33 1041734.55, 746388.17 1041733.45, 746393.33 1041732.69, 746393.32 1041732.57, 746396.9 1041732.01, 746396.56 1041726.53, 746392.5 1041727.13, 746391.89 1041722.91))),,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746367.16 1041726.49, 746368.59 1041736.35, 746373.66 1041735.6, 746373.8 1041736.59, 746379.13 1041735.79, 746378.98 1041734.81, 746380.93 1041734.52, 746379.46 1041724.17, 746376.43 1041724.65, 746376.5 1041725.14, 746367.16 1041726.49))),,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746356.45 1041729.96, 746356.6 1041730.63, 746359.55 1041730.2, 746358.63 1041724.14, 746355.71 1041724.56, 746355.68 1041724.65, 746356.45 1041729.96))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746349.78 1041725.49, 746350.18 1041728.33, 746350.25 1041728.32, 746350.61 1041730.88, 746356.45 1041729.96, 746355.68 1041724.65, 746349.78 1041725.49))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746337.93 1041730.69, 746339.43 1041741.07, 746351.8 1041739.29, 746350.61 1041730.88, 746350.25 1041728.32, 746350.18 1041728.33, 746343.98 1041729.19, 746344.06 1041729.79, 746337.93 1041730.69))),,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746305.08 1041741.37, 746306.16 1041748.73, 746307.51 1041748.54, 746307.6107 1041748.9241, 746307.7726 1041749.2868, 746307.9914 1041749.6182, 746308.2612 1041749.9096, 746308.5749 1041750.1532, 746308.924 1041750.3425, 746309.2992 1041750.4724, 746309.6906 1041750.5396, 746310.0878 1041750.5421, 746310.48 1041750.48, 746316.4 1041749.49, 746316.29 1041748.75, 746318.52 1041748.42, 746318.26 1041746.72, 746321.03 1041746.3, 746319.38 1041735.4, 746315.64 1041735.97, 746311.96 1041736.52, 746309.86 1041736.8, 746308.27 1041737.02, 746307.87 1041737.07, 746308.43 1041740.88, 746305.08 1041741.37))),,,,,,,,,,
MultiPolygon (((746294.36 1041736.43, 746295.21 1041742.08, 746299.15 1041741.6, 746298.41 1041735.89, 746294.36 1041736.43))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746285.2 1041740.13, 746284 1041740.34, 746283.53 1041737.16, 746283.05 1041737.23, 746283.51 1041740.41, 746283.95 1041743.39, 746284.46 1041743.31, 746285.65 1041752.47, 746290.89 1041751.45, 746291.02 1041752.35, 746296.57 1041751.55, 746295.21 1041742.08, 746294.36 1041736.43, 746290.74 1041736.96, 746290.83 1041737.57, 746285.42 1041738.41, 746284.94 1041738.48, 746285.2 1041740.13))),,,,,,,,,,,,,,,,,,
MultiPolygon (((746265.98 1041739.55, 746266.21 1041741.16, 746265.44 1041741.27, 746267.58 1041755.91, 746269.23 1041755.65, 746269.55 1041757.63, 746273.32 1041757.02, 746273 1041755.04, 746277.49 1041754.32, 746276.47 1041746.32, 746275.64 1041741.26, 746268.99 1041742.23, 746268.78 1041740.8, 746268.02 1041740.91, 746267.8 1041739.3, 746265.98 1041739.55))),,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746260.64 1041748.55, 746260.85 1041749.82, 746264.27 1041749.37, 746263.35 1041742.5, 746259.94 1041742.95, 746260.58 1041748.11, 746260.64 1041748.55))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
